MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,37,75,76,88
Most Competitive,100,38,77,56,65
Best Minority,99,25,87,47,43
Most Compact,84,27,75,94,34
Least Splitting,83,25,75,82,90
