MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,35,31,67,85
Most Competitive,100,61,23,33,21
Best Minority,77,26,43,28,56
Most Compact,100,25,17,90,33
Least Splitting,100,32,25,40,99
