MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,23,24,83,99
Most Competitive,100,30,29,70,99
Best Minority,100,24,31,67,80
Most Compact,100,24,24,96,22
Least Splitting,100,23,24,83,99
