MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,52,6,50,31,49
Most Proportional,100,24,93,39,92
Most Competitive,100,66,91,36,20
Best Minority,100,18,97,48,34
Most Compact,100,0,73,80,45
Least Splitting,100,24,93,48,94
