MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,29,77,82,99
Most Competitive,100,54,73,51,36
Best Minority,60,23,88,37,38
Most Compact,100,26,79,93,35
Least Splitting,100,29,77,82,99
