MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,38,27,62,66,44
Most Competitive,38,27,62,66,44
Best Minority,38,27,62,66,44
Most Compact,38,27,62,66,44
Least Splitting,38,27,62,66,44
