MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,40,38,0,69,43
Most Competitive,29,47,0,51,44
Best Minority,26,39,0,100,54
Most Compact,26,39,0,100,54
Least Splitting,24,37,0,58,84
