MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,44,38,0,69,36
Most Competitive,44,38,0,69,36
Best Minority,43,37,0,70,99
Most Compact,43,37,0,72,68
Least Splitting,43,37,0,70,99
