MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,27,76,87,72
Most Competitive,95,70,74,43,37
Best Minority,94,28,79,80,55
Most Compact,99,34,73,100,41
Least Splitting,100,31,74,70,86
