MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,26,67,62,78
Most Competitive,99,31,67,62,45
Best Minority,100,25,74,72,43
Most Compact,83,26,68,81,30
Least Splitting,93,19,70,52,93
