MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,77,27,67,54,72
Most Competitive,40,38,41,42,48
Best Minority,77,27,67,54,72
Most Compact,48,24,33,69,89
Least Splitting,48,24,33,69,89
