MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,24,88,77,92
Most Competitive,76,62,92,36,41
Best Minority,96,20,92,62,93
Most Compact,93,16,86,94,37
Least Splitting,87,23,85,58,97
