MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,22,44,83,89
Most Competitive,89,45,44,38,29
Best Minority,84,12,47,61,40
Most Compact,98,22,41,100,40
Least Splitting,86,18,46,74,99
