MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,29,44,87,88
Most Competitive,86,78,22,27,39
Best Minority,96,23,49,79,79
Most Compact,94,27,46,100,58
Least Splitting,82,27,36,77,99
