MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,30,100,82,94
Most Competitive,100,53,100,40,28
Best Minority,100,30,100,82,94
Most Compact,100,17,100,97,38
Least Splitting,72,17,93,63,99
