MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,44,19,89,10,0
Most Proportional,100,38,80,87,95
Most Competitive,100,72,60,21,31
Best Minority,100,27,91,64,43
Most Compact,100,22,59,100,0
Least Splitting,100,28,67,81,99
