MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,72,63,67,46,36
Most Competitive,72,63,67,46,36
Best Minority,53,38,74,72,42
Most Compact,47,38,70,82,45
Least Splitting,52,39,70,77,100
