MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,0,58,0,59,99
Most Proportional,100,30,0,1,28
Most Competitive,16,66,0,57,99
Most Compact,0,35,0,100,43
Least Splitting,48,59,0,42,100
