MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,57,44,0,45,91
Most Proportional,100,43,0,57,73
Most Competitive,81,54,0,25,36
Best Minority,59,46,0,100,97
Most Compact,59,46,0,100,97
Least Splitting,60,46,0,68,100
