MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,25,60,70,99
Most Competitive,89,64,47,40,22
Best Minority,100,25,76,52,40
Most Compact,88,28,58,79,74
Least Splitting,100,25,60,70,99
