MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,29,64,80,99
Most Competitive,88,100,63,22,37
Best Minority,100,26,69,41,73
Most Compact,46,32,60,100,98
Least Splitting,99,29,64,82,99
