MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,56,35,62,81,85
Most Competitive,50,50,52,48,36
Best Minority,52,32,65,63,50
Most Compact,47,35,62,85,38
Least Splitting,56,35,62,81,85
