MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,30,66,83,99
Most Competitive,100,36,74,65,56
Best Minority,99,27,84,65,40
Most Compact,99,27,70,100,48
Least Splitting,100,30,66,83,99
