MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,0,85,0,53,100
Most Proportional,100,23,0,36,43
Most Competitive,49,99,0,59,97
Best Minority,44,95,0,90,99
Most Compact,72,46,0,100,73
Least Splitting,73,47,0,94,100
