MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,35,60,68,61
Most Competitive,98,92,49,37,21
Best Minority,77,38,63,39,50
Most Compact,100,24,41,100,37
Least Splitting,100,36,46,53,88
