MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,30,84,63,84
Most Competitive,77,86,74,44,22
Best Minority,100,31,92,40,62
Most Compact,95,30,79,88,23
Least Splitting,87,37,85,58,94
