MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,33,74,97,99
Most Competitive,81,76,73,36,67
Best Minority,100,24,91,24,80
Most Compact,92,27,76,100,57
Least Splitting,100,33,74,97,99
