Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,90,33,47,50,37
Most Proportional,100,62,48,82,81
Most Competitive,68,100,49,65,71
Best Minority,61,45,68,21,20
Most Compact,91,29,31,100,42
Least Splitting,71,38,46,29,99
