MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,17,22,44,32
Most Competitive,68,48,21,33,23
Best Minority,75,16,38,64,92
Most Compact,46,13,28,85,20
Least Splitting,75,16,34,63,99
