MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,31,43,57,84
Most Competitive,76,88,38,24,24
Best Minority,74,32,48,37,59
Most Compact,59,28,27,100,38
Least Splitting,34,19,21,44,92
