MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,45,41,62,48
Most Competitive,100,45,41,62,48
Best Minority,98,34,62,65,32
Most Compact,68,37,55,94,24
Least Splitting,35,37,48,56,95
