MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,28,60,64,97
Most Competitive,100,37,66,61,82
Best Minority,100,25,77,40,41
Most Compact,98,22,51,100,27
Least Splitting,100,26,52,65,98
