MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,82,44,84,51,26
Most Proportional,100,100,68,100,80
Most Competitive,100,100,68,100,80
Best Minority,69,53,98,42,52
Most Compact,100,100,68,100,80
Least Splitting,68,45,67,50,85
