MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,51,3,0,59,82
Most Proportional,100,27,91,79,99
Most Competitive,100,36,93,20,24
Best Minority,100,20,100,42,27
Most Compact,100,30,86,96,34
Least Splitting,100,26,92,64,100
