MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,19,84,78,99
Most Competitive,100,27,88,41,34
Best Minority,84,13,97,37,37
Most Compact,86,15,84,83,45
Least Splitting,100,19,84,78,99
