MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,28,41,49,56,58
Most Proportional,100,36,47,100,76
Most Competitive,88,100,0,47,29
Best Minority,78,35,80,49,53
Most Compact,100,36,47,100,76
Least Splitting,68,34,33,62,89
