Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,17,42,50,77,63
Most Proportional,100,71,89,100,63
Most Competitive,55,100,50,64,50
Best Minority,94,17,95,57,63
Most Compact,100,71,89,100,63
Least Splitting,80,27,60,96,63
