MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,62,25,33,57,72
Most Competitive,45,38,48,63,43
Best Minority,22,22,56,47,41
Most Compact,30,23,33,79,87
Least Splitting,26,17,17,59,98
