MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,14,88,73,99
Most Competitive,91,38,92,47,92
Best Minority,100,23,100,48,76
Most Compact,100,14,88,73,99
Least Splitting,100,14,88,73,99
