MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,88,21,54,83,99
Most Competitive,88,38,46,40,43
Best Minority,69,15,64,69,73
Most Compact,88,21,54,83,99
Least Splitting,88,21,54,83,99
