MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,30,82,81,83
Most Competitive,100,58,79,45,29
Best Minority,100,25,86,61,45
Most Compact,100,30,80,90,71
Least Splitting,100,32,83,61,99
