MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,100,33,75,46,46
Most Proportional,100,30,72,58,90
Most Competitive,95,85,60,29,40
Best Minority,100,26,83,46,34
Most Compact,60,33,60,80,32
Least Splitting,82,42,62,27,94
