MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,100,24,43,73,77
Most Competitive,100,45,30,54,28
Best Minority,85,23,73,41,23
Most Compact,71,27,46,100,46
Least Splitting,54,18,42,70,96
