MAP,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,10,18,17,31,0
Most Proportional,44,33,33,50,22
Most Competitive,65,50,46,16,11
Best Minority,17,25,50,40,0
Most Compact,23,27,17,96,2
Least Splitting,20,26,17,40,98
