map,weight,energy,cut_edges,boundary_nodes,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
064_600,1.0000,2331494.418,0.1177,0.3143,0.019,0.4943,0.0439,7,0.5,6.3849,0.4561,6,0.0382,0.0325,0.0259,0.0255,0.0075,0.0251,0.0064,3.2495,0.013,0.0121,0.0009,0.0012,4.025,0.2875,3.1456,4.025,0.2875,7.6831,0.5939,0.582,0,5,7.8615,5,0.3538,0.144,1.3928,2.5438,81,38,50,26,0
065_601,1.0000,2607641.512,0.1222,0.3327,0.0167,0.4943,0.053,7,0.5,6.2583,0.447,6,0.0473,0.0415,0.0354,0.0354,0.0109,0.0351,0.0146,5.1845,0.017,0.0171,-0.0001,0.0069,3.7547,0.2682,3.0702,3.7547,0.2682,9.2647,0.5993,0.5843,0,5,7.7573,5,0.3593,0.1516,1.4143,2.4335,76,36,50,28,0
066_602,1.0000,2307020.631,0.1041,0.2877,0.0185,0.4943,0.0631,7,0.5,6.1171,0.4369,6,0.0573,0.0516,0.0449,0.0436,0.0115,0.0428,0.0097,5.0805,0.0261,0.0251,0.001,0.0052,3.979,0.2842,3.1835,3.979,0.2842,11.0286,0.5853,0.5757,0.7371,5,6.5019,5,0.3791,0.1664,1.3816,2.4422,71,38,58,34,0
067_603,1.0000,2077647.831,0.1096,0.2959,0.0184,0.4943,0.0858,7,0.5,5.7989,0.4142,6,0.0801,0.0744,0.0649,0.0631,0.0139,0.0622,0.0143,6.5014,0.0347,0.0334,0.0014,0.0076,4.5591,0.3257,3.6468,4.5591,0.3257,15.0027,0.5732,0.5673,0,5,7.4495,5,0.3971,0.175,1.3902,2.3421,60,43,50,39,0
068_604,1.0000,2057643.31,0.1051,0.2888,0.015,0.4943,0.0577,7,0.5,6.1923,0.4423,6,0.052,0.0463,0.0343,0.0335,0.0077,0.0331,0.0096,4.6601,0.0103,0.0101,0.0002,0.005,5.4589,0.3899,4.0843,5.4589,0.3899,10.0888,0.5842,0.5736,0,5,7.5207,5,0.3874,0.1545,1.3719,2.4564,74,52,50,34,0
069_605,1.0000,2039862.335,0.1015,0.2779,0.0157,0.4943,0.0819,7,0.5,5.853,0.4181,6,0.0762,0.0705,0.0544,0.0537,0.0105,0.0533,0.0159,5.7641,0.0064,0.0043,0.0021,0.0053,6.4035,0.4574,4.8124,6.4035,0.4574,14.3269,0.5717,0.5675,0,5,8.9388,5,0.4373,0.2086,1.3437,2.2457,62,61,50,51,3
070_606,1.0000,2511309.775,0.1086,0.2974,0.0182,0.4943,0.1121,7,0.5,5.431,0.3879,4,0.1064,0.1006,0.0911,0.0889,0.019,0.088,0.0241,12.3989,0.019,0.0183,0.0007,0.0224,4.889,0.3492,3.6695,4.889,0.3492,19.5984,0.6311,0.5613,0,5,6.5128,5,0.3612,0.1601,1.4218,2.4863,47,47,50,30,0
071_607,1.0000,2155079.983,0.1185,0.32,0.0193,0.4943,0.0563,7,0.5,6.2121,0.4437,6,0.0506,0.0448,0.0359,0.034,0.0079,0.0331,0.0086,3.824,0.0227,0.0224,0.0004,0.0027,4.525,0.3232,3.5606,4.525,0.3232,9.8422,0.5773,0.5687,0,5,6.7801,5,0.3591,0.1416,1.3872,2.5038,75,43,50,27,0
072_608,1.0000,3042261.578,0.1146,0.311,0.0198,0.4943,0.0295,7,0.5,6.5874,0.4705,7,0.0237,0.018,0.0038,0.0036,0.0008,0.0032,0.0038,0.0639,-0.0026,-0.0036,0.001,-0.0066,5.8001,0.4143,4.4842,5.8001,0.4143,5.1532,0.559,0.5725,0,5,8.312,5,0.3523,0.1588,1.4172,2.4809,88,55,50,28,0
073_609,1.0000,2781557.202,0.1214,0.3252,0.0172,0.4943,0.1027,7,0.5,5.5616,0.3973,4,0.097,0.0913,0.081,0.0787,0.0162,0.0777,0.0206,10.3014,0.0215,0.0213,0.0002,0.0177,4.948,0.3534,3.8087,4.948,0.3534,17.9676,0.6228,0.5573,0,5,5.8995,5,0.34,0.1449,1.4223,2.5027,51,47,50,24,0
074_610,1.0000,3173563.037,0.1183,0.3226,0.019,0.4943,0.0514,7,0.5,6.28,0.4486,7,0.0457,0.04,0.0276,0.0284,0.007,0.0284,0.0138,2.6387,-0.0039,-0.0051,0.0012,-0.0008,5.2351,0.3739,4.167,5.2351,0.3739,8.9933,0.5621,0.5759,0,5,6.6888,5,0.2887,0.1338,1.4171,2.5419,77,50,50,12,0
075_611,1.0000,1857495.236,0.1033,0.2802,0.0187,0.4943,0.091,7,0.5,5.7259,0.409,5,0.0853,0.0796,0.0697,0.0682,0.0156,0.0675,0.021,10.269,0.019,0.0189,0,0.0186,4.952,0.3537,3.7235,4.952,0.3537,15.9145,0.6134,0.572,0,5,7.5758,5,0.3825,0.1782,1.3599,2.3011,57,47,50,36,0
076_612,1.0000,2891168.736,0.1231,0.3338,0.0186,0.4943,0.0443,7,0.5,6.3796,0.4557,6,0.0386,0.0329,0.0307,0.0294,0.0099,0.0286,0.0078,4.5012,0.0291,0.0301,-0.001,0.0063,2.9135,0.2081,2.3754,2.9135,0.2081,7.7495,0.6033,0.5857,0.7188,5,8.4022,5,0.31,0.1313,1.4041,2.5336,81,28,57,16,0
077_613,1.0000,2282034.762,0.1108,0.3016,0.0171,0.4943,0.0352,7,0.5,6.5074,0.4648,6,0.0295,0.0238,0.0176,0.0168,0.005,0.0164,0.0054,2.8006,0.0066,0.007,-0.0004,0.0015,3.9951,0.2854,3.0776,3.9951,0.2854,6.1533,0.5992,0.5837,0,5,7.508,5,0.3454,0.1644,1.3924,2.4469,85,38,50,27,0
078_614,1.0000,2105680.417,0.1136,0.3046,0.0161,0.4943,0.0665,7,0.5,6.0685,0.4335,4,0.0608,0.0551,0.0382,0.0368,0.0068,0.0362,0.0082,3.6521,0.0086,0.0076,0.001,0.0015,6.6021,0.4716,4.9492,6.6021,0.4716,11.6358,0.5986,0.5488,0,5,8.968,5,0.3646,0.1703,1.3856,2.4621,70,63,50,32,0
079_615,1.0000,2616119.246,0.1142,0.3121,0.0155,0.4943,0.1038,7,0.5,5.5469,0.3962,5,0.0981,0.0924,0.082,0.0792,0.0159,0.0781,0.0193,9.913,0.0302,0.0297,0.0005,0.0163,5.0099,0.3579,3.8138,5.0099,0.3579,18.1503,0.5961,0.5631,0.8692,5,6.3998,5,0.383,0.1472,1.3952,2.4678,51,48,58,32,0
