map,weight,energy,cut_edges,boundary_nodes,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
010_529,1.0000,2295066.066,0.1206,0.3275,0.0169,0.4943,0.1113,7,0.5,5.4413,0.3887,5,0.1056,0.0999,0.0912,0.0897,0.0208,0.0891,0.0267,11.6104,0.0251,0.0238,0.0014,0.0197,4.6385,0.3313,3.5182,4.6385,0.3313,19.4693,0.6011,0.5672,0,5,6.7392,5,0.3667,0.1355,1.419,2.4657,47,44,50,28,0
011_530,1.0000,1982647.601,0.1108,0.3035,0.0167,0.4943,0.0457,7,0.5,6.3601,0.4543,7,0.04,0.0343,0.024,0.0244,0.0064,0.0242,0.0098,3.145,-0.0046,-0.0052,0.0006,0.0012,4.8452,0.3461,3.7989,4.8452,0.3461,7.9927,0.573,0.5856,0.7338,5,7.4915,5,0.4077,0.158,1.3788,2.3792,80,46,58,38,0
012_531,1.0000,2275374.023,0.1085,0.2971,0.0194,0.4943,-0.0137,7,0.5,7.1911,0.5137,7,-0.0194,-0.0251,-0.0287,-0.0282,-0.0108,-0.0284,-0.0106,-4.221,-0.0175,-0.0174,0,-0.0159,3.1593,0.2257,2.6381,3.1593,0.2257,-2.3872,0.5812,0.5926,0.8224,5,6.854,5,0.3593,0.1735,1.4022,2.4021,93,30,58,31,0
013_532,1.0000,2295598.565,0.1049,0.2896,0.0171,0.4943,-0.0054,7,0.5,7.0757,0.5054,8,-0.0111,-0.0168,-0.0241,-0.0238,-0.0074,-0.024,-0.0102,-2.922,-0.0134,-0.013,-0.0004,-0.0123,4.0112,0.2865,3.2616,4.0112,0.2865,-0.9458,0.5649,0.599,0,5,6.8355,5,0.3701,0.1852,1.3562,2.3811,97,38,50,34,1
014_533,1.0000,2454161.762,0.1073,0.2989,0.0185,0.4943,0.0728,7,0.5,5.981,0.4272,6,0.0671,0.0614,0.0534,0.0514,0.0124,0.0506,0.0113,6.8661,0.0171,0.0159,0.0012,0.0094,4.5723,0.3266,3.3963,4.5723,0.3266,12.7287,0.5896,0.5793,0.7291,5,6.5253,5,0.357,0.1728,1.3733,2.398,66,44,58,30,0
015_534,1.0000,2301982.294,0.1169,0.3095,0.0186,0.4943,0.0353,7,0.5,6.5056,0.4647,6,0.0296,0.0239,0.0223,0.0219,0.0086,0.0215,0.0055,2.4498,0.0225,0.0219,0.0006,-0.0003,2.6922,0.1923,2.2788,2.6922,0.1923,6.1752,0.5988,0.5851,0,5,6.9309,5,0.359,0.1567,1.4329,2.5524,85,26,50,29,0
016_535,1.0000,2217708.692,0.1076,0.2971,0.0178,0.4943,0.0999,7,0.5,5.6021,0.4001,5,0.0941,0.0884,0.0749,0.0726,0.0139,0.0717,0.0197,10.4542,0.0146,0.0147,-0.0001,0.0185,5.9648,0.4261,4.3683,5.9648,0.4261,17.4613,0.6031,0.5661,0,5,8.3333,5,0.3905,0.1762,1.3724,2.3567,53,57,50,38,0
017_536,1.0000,1990063.568,0.0983,0.2667,0.0196,0.4943,0.0534,7,0.5,6.2524,0.4466,5,0.0477,0.042,0.0332,0.0325,0.0085,0.0321,0.0098,4.585,0.0112,0.0109,0.0003,0.0049,4.5262,0.3233,3.5242,4.5262,0.3233,9.3381,0.6091,0.57,0,5,8.1161,5,0.401,0.1958,1.3591,2.2146,76,43,50,42,1
018_537,1.0000,1929371.929,0.1016,0.2753,0.0188,0.4943,0.0535,7,0.5,6.2508,0.4465,6,0.0478,0.0421,0.0294,0.0291,0.0066,0.0288,0.0081,3.5968,-0.0017,-0.0027,0.0009,0.0017,5.5322,0.3952,4.2118,5.5322,0.3952,9.3578,0.58,0.5716,0,5,7.4068,5,0.3948,0.1912,1.3499,2.329,76,53,50,40,2
019_539,1.0000,2693198.676,0.1098,0.2971,0.0193,0.4943,0.0968,7,0.5,5.6451,0.4032,5,0.0911,0.0853,0.0748,0.0738,0.0172,0.0733,0.0253,11.5874,0.0106,0.0102,0.0004,0.0217,5.1847,0.3703,3.836,5.1847,0.3703,16.9241,0.6167,0.5743,0.7276,5,6.6677,5,0.3545,0.1775,1.3424,2.4533,54,49,58,30,4
020_543,1.0000,2266780.063,0.1069,0.2914,0.0179,0.4943,0.088,7,0.5,5.7675,0.412,6,0.0823,0.0766,0.0668,0.0653,0.015,0.0647,0.0177,8.8568,0.025,0.0237,0.0013,0.0138,4.8699,0.3478,3.7174,4.8699,0.3478,15.3954,0.5895,0.5794,0.7277,5,6.8765,5,0.3724,0.1706,1.3855,2.4244,59,46,58,34,0
021_544,1.0000,2094888.756,0.115,0.3151,0.0157,0.4943,0.0474,7,0.5,6.3361,0.4526,6,0.0417,0.036,0.025,0.0247,0.006,0.0244,0.0086,3.559,0.0124,0.0132,-0.0007,0.0033,5.0235,0.3588,3.9181,5.0235,0.3588,8.2923,0.5831,0.5711,0,5,7.3869,5,0.3622,0.1514,1.4017,2.4332,79,48,50,29,0
022_545,1.0000,2038325.075,0.1056,0.2929,0.0194,0.4943,0.0254,7,0.5,6.6441,0.4746,6,0.0197,0.014,0.0092,0.0085,0.0028,0.008,0.0032,1.1138,0.0167,0.0165,0.0002,-0.0032,3.4448,0.2461,2.8385,3.4448,0.2461,4.4459,0.5984,0.5841,0,5,8.5456,5,0.4039,0.1939,1.3601,2.4004,90,33,50,42,0
023_546,1.0000,2279901.007,0.1098,0.2941,0.0183,0.4943,0.0195,7,0.5,6.7264,0.4805,7,0.0138,0.0081,-0.0007,-0.001,-0.0003,-0.0013,-0.0045,-0.0029,0.0008,0.0006,0.0002,-0.0059,4.487,0.3205,3.5444,4.487,0.3205,3.4172,0.5759,0.5877,0,5,8.4545,5,0.3519,0.1535,1.3793,2.4081,93,43,50,27,0
024_547,1.0000,2210472.964,0.0999,0.2742,0.0164,0.4943,0.0837,7,0.5,5.8279,0.4163,6,0.078,0.0723,0.0647,0.0624,0.0146,0.0615,0.0139,7.8721,0.0291,0.0279,0.0011,0.0115,4.351,0.3108,3.332,4.351,0.3108,14.6409,0.5852,0.5759,0,5,6.817,5,0.3761,0.1893,1.3511,2.4169,61,41,50,36,2
025_551,1.0000,2448191.269,0.1133,0.302,0.0151,0.4943,0.1148,7,0.5,5.3929,0.3852,5,0.1091,0.1034,0.097,0.0952,0.0228,0.0943,0.0284,13.7843,0.0361,0.0361,0,0.0266,3.9858,0.2847,3.115,3.9858,0.2847,20.0742,0.6123,0.5713,0,5,5.7664,5,0.3728,0.1662,1.446,2.4599,45,38,50,33,0
026_552,1.0000,2255712.698,0.1106,0.2986,0.0155,0.4943,0.0605,7,0.5,6.1529,0.4395,6,0.0548,0.0491,0.0375,0.0368,0.0085,0.0364,0.0105,4.8826,0.0071,0.006,0.0011,0.0047,5.3014,0.3787,4.0244,5.3014,0.3787,10.5817,0.5869,0.5772,0.7771,5,7.4362,5,0.3459,0.1551,1.3676,2.3947,73,50,58,26,0
027_553,1.0000,2723367.018,0.1179,0.3222,0.0165,0.4943,0.0935,7,0.5,5.6914,0.4065,4,0.0878,0.082,0.0689,0.0662,0.0125,0.0652,0.0136,6.8643,0.016,0.0142,0.0018,0.0079,5.7299,0.4093,4.3055,5.7299,0.4093,16.3462,0.6049,0.5525,0,5,8.8087,5,0.3254,0.1597,1.3905,2.5005,56,55,50,22,0
028_555,1.0000,2225732.416,0.1019,0.2783,0.0191,0.4943,0.0451,7,0.5,6.3683,0.4549,6,0.0394,0.0337,0.0251,0.025,0.0069,0.0247,0.0077,3.5373,0.0127,0.0122,0.0005,0.0023,4.4021,0.3144,3.4928,4.4021,0.3144,7.8904,0.5946,0.5818,0.9029,5,7.3317,5,0.3672,0.1935,1.3553,2.401,80,42,59,35,2
029_557,1.0000,2186800.383,0.1097,0.3035,0.017,0.4943,0.0793,7,0.5,5.8896,0.4207,6,0.0736,0.0679,0.0562,0.0548,0.0117,0.0541,0.0132,5.9756,0.0214,0.0203,0.0011,0.0068,5.2133,0.3724,4.0396,5.2133,0.3724,13.8706,0.5745,0.5678,0,5,6.78,5,0.388,0.1824,1.3944,2.3739,63,50,50,38,0
030_558,1.0000,2080058.812,0.1098,0.3023,0.0174,0.4943,0.0374,7,0.5,6.4762,0.4626,7,0.0317,0.026,0.0217,0.0213,0.0071,0.0208,0.0046,2.2625,0.0174,0.0165,0.0009,-0.0012,3.3577,0.2398,2.7549,3.3577,0.2398,6.5424,0.5786,0.5918,0.7915,5,6.7072,5,0.3913,0.1684,1.3589,2.5087,84,32,58,37,1
031_559,1.0000,2146664.939,0.1173,0.3121,0.0199,0.4943,0.1106,7,0.5,5.4509,0.3894,4,0.1049,0.0992,0.084,0.0806,0.0136,0.0793,0.0184,9.6017,0.0283,0.0281,0.0001,0.0155,6.2937,0.4496,4.6663,6.2937,0.4496,19.3498,0.6062,0.5507,0,5,7.4693,5,0.3701,0.1615,1.3729,2.4082,48,60,50,32,0
032_561,1.0000,2171374.943,0.1064,0.2851,0.0175,0.4943,0.037,7,0.5,6.4825,0.463,6,0.0312,0.0255,0.0118,0.0118,0.0026,0.0114,0.0022,0.972,0.0032,0.002,0.0013,-0.0047,5.6015,0.4001,4.393,5.6015,0.4001,6.4636,0.5718,0.566,0.8032,5,6.59,5,0.3822,0.1873,1.3709,2.4505,84,53,58,38,0
033_562,1.0000,2475377.647,0.1291,0.3451,0.0182,0.4943,0.1225,7,0.5,5.2849,0.3775,5,0.1168,0.1111,0.1001,0.0977,0.0191,0.0966,0.0253,10.6317,0.0237,0.0227,0.001,0.0167,5.1782,0.3699,3.9251,5.1782,0.3699,21.4236,0.5818,0.556,0,5,6.6049,5,0.3284,0.1413,1.4434,2.5213,42,49,50,20,0
034_563,1.0000,2400803.748,0.1148,0.3121,0.0184,0.4943,0.102,7,0.5,5.5726,0.398,5,0.0962,0.0905,0.0855,0.0834,0.021,0.0824,0.0223,11.6264,0.0244,0.0236,0.0008,0.021,3.7508,0.2679,2.8738,3.7508,0.2679,17.8292,0.6124,0.5725,0,5,8.1807,5,0.3293,0.1455,1.396,2.4093,52,36,50,22,0
035_564,1.0000,2191583.768,0.1093,0.2978,0.0183,0.4943,0.0814,7,0.5,5.8609,0.4186,6,0.0756,0.0699,0.0587,0.0571,0.0124,0.0564,0.0149,7.3849,0.0234,0.023,0.0004,0.0109,5.2072,0.3719,3.9676,5.2072,0.3719,14.2282,0.5826,0.5727,0,5,7.521,5,0.3754,0.1669,1.3948,2.4965,62,50,50,34,0
036_565,1.0000,2254641.865,0.1081,0.2963,0.0161,0.4943,0.0697,7,0.5,6.0239,0.4303,6,0.064,0.0583,0.047,0.0463,0.0106,0.0458,0.0128,4.9032,0.0154,0.0141,0.0013,0.0042,5.029,0.3592,3.9756,5.029,0.3592,12.192,0.5757,0.5691,0,5,7.4517,5,0.3564,0.1728,1.4026,2.4652,68,48,50,30,0
037_566,1.0000,2572559.808,0.1295,0.3432,0.0191,0.4943,0.0197,7,0.5,6.7237,0.4803,6,0.014,0.0083,-0.0023,-0.002,-0.0005,-0.0021,-0.0016,-0.1516,-0.0044,-0.005,0.0006,-0.0067,4.9842,0.356,3.8521,4.9842,0.356,3.4518,0.5861,0.5757,0,5,7.3925,5,0.3435,0.1374,1.3881,2.5443,93,47,50,23,0
038_567,1.0000,2335939.483,0.1072,0.2881,0.0165,0.4943,0.0511,7,0.5,6.2845,0.4489,6,0.0454,0.0397,0.0273,0.0258,0.0056,0.0252,0.0066,3.992,0.0141,0.0144,-0.0002,0.0039,5.5338,0.3953,4.1676,5.5338,0.3953,8.9376,0.5858,0.574,0,5,9.0334,5,0.3784,0.1827,1.4037,2.415,77,53,50,36,0
039_568,1.0000,2184106.495,0.1073,0.2922,0.0186,0.4943,0.0352,7,0.5,6.5069,0.4648,6,0.0295,0.0238,0.0194,0.0186,0.006,0.0181,0.0036,2.292,0.019,0.0182,0.0008,-0.0009,3.4582,0.247,2.7632,3.4582,0.247,6.1596,0.5983,0.5851,0,5,8.2767,5,0.4033,0.1678,1.3788,2.3767,85,33,50,39,0
040_569,1.0000,2045260.616,0.1121,0.3027,0.0185,0.4943,0.0269,7,0.5,6.623,0.4731,7,0.0212,0.0155,0.0083,0.0082,0.0024,0.0077,0.0037,0.3668,0.0087,0.0079,0.0008,-0.0057,3.8384,0.2742,3.2496,3.8384,0.2742,4.7086,0.5684,0.5815,0,5,7.6252,5,0.3658,0.1628,1.3972,2.494,89,37,50,31,0
041_571,1.0000,2898488.947,0.1175,0.3166,0.0187,0.4943,0.0149,7,0.5,6.7914,0.4851,7,0.0092,0.0035,-0.0043,-0.0037,-0.0011,-0.0039,-0.0017,-0.8785,-0.0058,-0.0061,0.0003,-0.0081,4.0335,0.2881,3.3606,4.0335,0.2881,2.6053,0.567,0.579,0,5,6.819,5,0.3436,0.1507,1.4091,2.4899,95,38,50,25,0
042_573,1.0000,2148276.52,0.116,0.3162,0.0185,0.4943,0.0712,7,0.5,6.0033,0.4288,5,0.0655,0.0598,0.0536,0.0524,0.0141,0.0517,0.0126,6.0885,0.0233,0.0218,0.0015,0.007,3.8488,0.2749,3.0833,3.8488,0.2749,12.45,0.602,0.568,0.9171,5,7.295,5,0.3881,0.1636,1.4027,2.5038,67,37,59,36,0
043_574,1.0000,2382743.348,0.1112,0.2978,0.0155,0.4943,0.1193,7,0.5,5.3305,0.3807,6,0.1135,0.1078,0.0992,0.0974,0.0218,0.0966,0.0305,15.2848,0.0393,0.04,-0.0007,0.0311,4.6143,0.3296,3.5043,4.6143,0.3296,20.8542,0.5968,0.5814,0.7001,5,5.81,5,0.3572,0.1508,1.3733,2.374,43,44,57,28,0
044_575,1.0000,2358631.354,0.11,0.3023,0.0169,0.4943,0.0246,7,0.5,6.6562,0.4754,7,0.0188,0.0131,0.0089,0.0086,0.003,0.0082,0.0018,0.7242,0.0063,0.0057,0.0006,-0.0045,3.3994,0.2428,2.7359,3.3994,0.2428,4.2944,0.5798,0.5924,0,5,8.5521,5,0.3507,0.1684,1.3925,2.4859,91,32,50,28,0
045_576,1.0000,2375890.036,0.1142,0.3121,0.019,0.4943,0.0718,7,0.5,5.995,0.4282,6,0.0661,0.0603,0.051,0.0499,0.012,0.0493,0.0146,6.5686,0.0209,0.021,-0.0001,0.0097,4.6908,0.3351,3.6332,4.6908,0.3351,12.553,0.5843,0.573,0,5,8.8453,5,0.3695,0.1702,1.3742,2.4379,67,45,50,33,0
046_577,1.0000,1900602.2,0.0997,0.2697,0.0198,0.4943,0.0442,7,0.5,6.381,0.4558,7,0.0385,0.0328,0.024,0.0236,0.0063,0.0231,0.0085,4.0998,0.0056,0.0075,-0.0019,0.0059,4.4492,0.3178,3.5403,4.4492,0.3178,7.7322,0.5779,0.5856,0.8235,5,5.732,5,0.4115,0.1767,1.3526,2.3778,81,42,58,42,2
047_578,1.0000,2255495.997,0.1118,0.2978,0.0187,0.4943,0.072,7,0.5,5.9917,0.428,6,0.0663,0.0606,0.0522,0.0507,0.0122,0.0499,0.0111,5.8438,0.031,0.0296,0.0014,0.0065,4.356,0.3111,3.4607,4.356,0.3111,12.5949,0.5827,0.5744,0.848,5,8.1168,5,0.3475,0.1581,1.3662,2.3352,67,41,58,27,0
048_579,1.0000,2518625.987,0.1102,0.3023,0.0197,0.4943,0.0894,7,0.5,5.7485,0.4106,6,0.0837,0.078,0.0712,0.0695,0.0175,0.0687,0.0194,9.9736,0.0263,0.0255,0.0008,0.0173,4.198,0.2999,3.1888,4.198,0.2999,15.6331,0.5949,0.5825,0,5,7.7176,5,0.3191,0.1741,1.382,2.374,58,40,50,24,0
049_580,1.0000,2461855.187,0.1213,0.3308,0.0194,0.4943,-0.0026,7,0.5,7.0363,0.5026,7,-0.0083,-0.014,-0.0165,-0.016,-0.0068,-0.0162,-0.0056,-2.7632,-0.009,-0.0091,0.0001,-0.0126,2.7182,0.1942,2.4266,2.7182,0.1942,-0.4539,0.5845,0.5962,0,5,8.8527,5,0.3344,0.1346,1.4092,2.5545,99,26,50,22,0
