MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,6078,100,30,70,64,80
Most Competitive,4285,100,37,70,54,75
Best Minority,8469,99,28,76,56,76
Most Compact,6078,100,30,70,64,80
Least Splitting,3283,95,27,72,52,82
