MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Official,NC_2024_Congressional,0,24,65,43,41
Most Proportional,9613,100,51,58,62,51
Most Competitive,2213,67,74,50,56,48
Best Minority,8818,69,34,68,66,43
Most Compact,6718,70,34,50,79,38
Least Splitting,7960,64,49,58,52,76
