MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,4724,67,26,86,52,39
Most Competitive,6651,64,28,88,48,42
Best Minority,5799,63,25,89,48,40
Most Compact,4120,59,22,85,56,39
Least Splitting,9394,54,22,86,46,55
