MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,9899,100,35,74,56,41
Most Competitive,2970,99,43,74,49,34
Best Minority,2162,99,27,79,44,33
Most Compact,9923,100,32,74,62,38
Least Splitting,9181,100,22,75,51,54
