DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9916,98,2.487569,87,97,100,100,100
Competitiveness,9916,29,1.899476,24,28,30,31,37
Minority,9916,70,1.612998,67,70,71,72,76
Compactness,9916,51,3.928890,40,50,52,54,64
Splitting,9916,68,11.405413,20,62,72,76,82
