DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9783,78,5.813485,63,75,79,83,97
Competitiveness,9783,26,2.811161,18,24,26,28,34
Minority,9783,73,1.532777,68,72,74,74,78
Compactness,9783,60,4.114668,46,58,61,64,71
Splitting,9783,61,7.778231,20,58,62,66,78
