MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,9938,100,30,70,58,93
Most Competitive,5086,100,40,70,48,58
Best Minority,5267,100,24,79,54,59
Most Compact,1485,100,24,65,68,56
Least Splitting,9938,100,30,70,58,93
