MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,4732,100,32,57,54,65
Most Competitive,5006,96,37,52,52,66
Best Minority,1312,92,30,65,46,40
Most Compact,7083,100,27,48,59,62
Least Splitting,8424,100,31,53,52,68
