MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,9948,100,30,77,56,69
Most Competitive,5059,100,33,74,56,66
Best Minority,5892,100,27,79,50,68
Most Compact,4265,100,30,76,58,49
Least Splitting,8845,100,26,76,55,74
