DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,1740,89,3.040789,85,87,88,91,100
Competitiveness,1740,32,6.351837,19,28,31,35,51
Minority,1740,51,3.180706,41,50,51,54,62
Compactness,1740,49,4.536264,36,46,49,52,62
Splitting,1740,45,7.789311,20,40,46,50,68
