MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,0747,75,37,83,46,46
Most Competitive,0744,71,39,83,46,44
Best Minority,6833,54,26,86,48,64
Most Compact,4341,62,29,82,61,63
Least Splitting,2812,48,24,82,53,81
