DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,8606,34,11.334667,20,25,32,43,77
Competitiveness,8606,43,9.951692,20,34,46,51,68
Minority,8606,71,6.464930,57,65,72,76,96
Compactness,8606,47,8.779171,20,42,47,53,76
Splitting,8606,57,13.116537,26,48,58,67,98
