MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,6902,95,26,61,47,38
Most Competitive,9341,89,28,60,50,41
Best Minority,6123,91,27,66,50,38
Most Compact,8562,92,25,62,52,40
Least Splitting,9451,90,26,61,52,42
