MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,4550,90,22,76,57,40
Most Competitive,2536,82,29,76,50,38
Best Minority,5330,81,20,80,61,57
Most Compact,9069,81,22,76,62,68
Least Splitting,8738,83,24,79,59,72
