DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9724,97,4.669405,74,96,100,100,100
Competitiveness,9724,26,4.891228,11,23,26,30,43
Minority,9724,74,1.583817,69,73,74,75,79
Compactness,9724,49,3.983351,38,47,50,52,62
Splitting,9724,31,4.881426,20,28,32,35,54
