MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,5288,100,50,61,72,58
Most Competitive,9600,61,70,58,58,34
Best Minority,2234,78,28,74,56,49
Most Compact,8477,95,37,60,79,52
Least Splitting,6715,67,39,58,44,83
