MAP,ID,PROPORTIONALITY,COMPETITIVENESS,MINORITY,COMPACTNESS,SPLITTING
Most Proportional,9343,100,34,73,66,69
Most Competitive,0559,58,40,67,52,22
Best Minority,8380,84,26,78,68,74
Most Compact,4737,94,22,74,72,64
Least Splitting,8313,85,26,74,68,80
