DIMENSION,COUNT,MEAN,STD,MIN,25%,50%,75%,MAX
Proportionality,9739,100,0.000000,100,100,100,100,100
Competitiveness,9739,15,2.934203,10,14,16,17,27
Minority,9739,81,1.420214,78,80,82,82,86
Compactness,9739,46,3.663772,28,44,46,49,59
Splitting,9739,59,10.717722,20,54,62,66,82
